Absolute x (cm),Abs y,Abs z,x,y,z,rotx (rad),roty,rotz
0,0,105,-4.04,-12.32,105.38,3.11,-0.097,0
0,0,105,-4.107,-12.26,105.42,-3.05,0.07,0.168
0,0,105,-4.107,-12.26,105.42,-3.05,0.07,0.168
0,0,105,-4.045,-12.32,105.38,3.11,-0.097,0
0,0,105,-4.1,-12.26,105.42,-3.05,0.07,0.168
9.525,0,105,4.994,-12.66,105.325,3.115,-0.083,-0.007
9.525,0,105,4.969,-12.469,105.325,-2.97,0.096,-0.161
9.525,0,105,4.994,-12.66,106.494,-3.041,0.077,0.052
9.525,0,105,4.994,-12.66,106.494,-3.041,0.077,0.052
9.525,0,105,4.969,-12.469,105.325,-2.97,0.096,-0.161
-9.525,0,105,-13.592,-12.145,105.553,-3.004,0.074,0.144
-9.525,0,105,-13.562,-12.157,105.575,-3.048,0.071,0.2
-9.525,0,105,-13.562,-12.157,105.575,-3.048,0.071,0.2
-9.525,0,105,-13.562,-12.157,105.575,-3.048,0.071,0.2
-9.525,0,105,-13.562,-12.157,105.575,-3.048,0.071,0.2
0,13.97,105,-3.815,-26.978,106.223,-2.996,-0.022,0.045
0,13.97,105,-3.815,-26.978,106.223,-2.996,-0.022,0.045
0,13.97,105,-3.815,-26.978,106.223,-2.996,-0.022,0.045
0,13.97,105,-3.815,-26.978,106.223,-2.996,-0.022,0.045
0,13.97,105,-3.815,-26.978,106.223,-2.996,-0.022,0.045
0,-22.06625,105,-3.711,14.742,106.243,-3.103,0.105,0.118
0,-22.06625,105,-3.711,14.742,106.243,-3.103,0.105,0.118
0,-22.06625,105,-3.711,14.742,106.243,-3.103,0.105,0.118
0,-22.06625,105,-3.711,14.742,106.243,-3.103,0.105,0.118
0,-22.06625,105,-3.711,14.742,106.243,-3.103,0.105,0.118